_id,Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,ObjectId,geometry,Longitude,Latitude
153,852,GO-2017222142,2017,D54,Shooting,2017-02-05T05:00:00,66,Danforth (66),,-79.3429718,153,"{u'type': u'Point', u'coordinates': (-79.3429718, 43.6828117)}",-79.3429718,43.6828117
154,853,GO-2017233559,2017,D23,Shooting,2017-02-06T05:00:00,5,Elms-Old Rexdale (5),,-79.5523682,154,"{u'type': u'Point', u'coordinates': (-79.5523682, 43.7165527)}",-79.5523682,43.7165527
155,854,GO-2017233897,2017,D32,Other,2017-02-06T05:00:00,37,Willowdale West (37),,-79.4155807,155,"{u'type': u'Point', u'coordinates': (-79.4155807, 43.7748947)}",-79.4155807,43.7748947
156,855,GO-2017291986,2017,D54,Other,2017-02-16T05:00:00,54,O'Connor-Parkview (54),,-79.297287,156,"{u'type': u'Point', u'coordinates': (-79.297287, 43.7022209)}",-79.297287,43.7022209
157,856,GO-201594334,2015,D23,Other,2015-01-16T05:00:00,1,West Humber-Clairville (1),,-79.5951614,157,"{u'type': u'Point', u'coordinates': (-79.5951614, 43.7420998)}",-79.5951614,43.7420998
158,857,GO-2017352942,2017,D53,Shooting,2017-02-25T05:00:00,55,Thorncliffe Park (55),,-79.3436279,158,"{u'type': u'Point', u'coordinates': (-79.3436279, 43.7074776)}",-79.3436279,43.7074776
159,858,GO-2016838159,2016,D23,Shooting,2016-05-15T04:00:00,1,West Humber-Clairville (1),,-79.5894241,159,"{u'type': u'Point', u'coordinates': (-79.5894241, 43.7320251)}",-79.5894241,43.7320251
160,859,GO-2017468897,2017,D42,Shooting,2017-03-16T04:00:00,131,Rouge (131),,-79.1846695,160,"{u'type': u'Point', u'coordinates': (-79.1846695, 43.8102036)}",-79.1846695,43.8102036
161,860,GO-2017486409,2017,D54,Shooting,2017-03-18T04:00:00,61,Taylor-Massey (61),,-79.2954559,161,"{u'type': u'Point', u'coordinates': (-79.2954559, 43.7016792)}",-79.2954559,43.7016792
162,861,GO-2017564412,2017,D11,Shooting,2017-03-31T04:00:00,8,Humber Heights-Westmount (8),,-79.519722,162,"{u'type': u'Point', u'coordinates': (-79.519722, 43.6912231)}",-79.519722,43.6912231
163,862,GO-2017662074,2017,D42,Shooting,2017-04-14T04:00:00,117,L'Amoreaux (117),,-79.3309326,163,"{u'type': u'Point', u'coordinates': (-79.3309326, 43.7974548)}",-79.3309326,43.7974548
164,863,GO-2017674351,2017,D55,Shooting,2017-04-14T04:00:00,70,South Riverdale (70),,-79.3444595,164,"{u'type': u'Point', u'coordinates': (-79.3444595, 43.6600876)}",-79.3444595,43.6600876
165,864,GO-2017703097,2017,D13,Shooting,2017-04-21T04:00:00,108,Briar Hill-Belgravia (108),,-79.4511414,165,"{u'type': u'Point', u'coordinates': (-79.4511414, 43.6979179)}",-79.4511414,43.6979179
166,865,GO-2017402242,2017,D55,Other,2017-03-04T05:00:00,68,North Riverdale (68),,-79.3554077,166,"{u'type': u'Point', u'coordinates': (-79.3554077, 43.6654854)}",-79.3554077,43.6654854
167,866,GO-2017904599,2017,D55,Shooting,2017-05-22T04:00:00,70,South Riverdale (70),,-79.345192,167,"{u'type': u'Point', u'coordinates': (-79.345192, 43.6670952)}",-79.345192,43.6670952
168,867,GO-20171007434,2017,D12,Other,2017-06-07T04:00:00,110,Keelesdale-Eglinton West (110),,-79.4828796,168,"{u'type': u'Point', u'coordinates': (-79.4828796, 43.6883698)}",-79.4828796,43.6883698
169,868,GO-20171035511,2017,D31,Shooting,2017-06-11T04:00:00,22,Humbermede (22),,-79.5572815,169,"{u'type': u'Point', u'coordinates': (-79.5572815, 43.7476883)}",-79.5572815,43.7476883
170,869,GO-20171118832,2017,D11,Stabbing,2017-06-23T04:00:00,93,Dovercourt-Wallace Emerson-Junction (93),,-79.4441757,170,"{u'type': u'Point', u'coordinates': (-79.4441757, 43.6672173)}",-79.4441757,43.6672173
171,870,GO-20171184598,2017,D51,Shooting,2017-07-02T04:00:00,72,Regent Park (72),,-79.364769,171,"{u'type': u'Point', u'coordinates': (-79.364769, 43.66045)}",-79.364769,43.66045
172,871,GO-20171319697,2017,D42,Shooting,2017-07-23T04:00:00,131,Rouge (131),,-79.1991959,172,"{u'type': u'Point', u'coordinates': (-79.1991959, 43.8133163)}",-79.1991959,43.8133163
173,872,GO-20171319697,2017,D42,Shooting,2017-07-23T04:00:00,131,Rouge (131),,-79.1991959,173,"{u'type': u'Point', u'coordinates': (-79.1991959, 43.8133163)}",-79.1991959,43.8133163
174,873,GO-20171323827,2017,D42,Shooting,2017-07-23T04:00:00,132,Malvern (132),,-79.2105103,174,"{u'type': u'Point', u'coordinates': (-79.2105103, 43.810276)}",-79.2105103,43.810276
175,874,GO-20171371751,2017,D32,Shooting,2017-07-30T04:00:00,31,Yorkdale-Glen Park (31),,-79.4547501,175,"{u'type': u'Point', u'coordinates': (-79.4547501, 43.7140884)}",-79.4547501,43.7140884
176,875,GO-20171378728,2017,D51,Shooting,2017-07-31T04:00:00,73,Moss Park (73),,-79.3694611,176,"{u'type': u'Point', u'coordinates': (-79.3694611, 43.6545258)}",-79.3694611,43.6545258
177,876,GO-20171379055,2017,D13,Shooting,2017-08-01T04:00:00,106,Humewood-Cedarvale (106),,-79.4208679,177,"{u'type': u'Point', u'coordinates': (-79.4208679, 43.6861954)}",-79.4208679,43.6861954
178,877,GO-20171377317,2017,D54,Stabbing,2017-07-31T04:00:00,57,Broadview North (57),,-79.3536606,178,"{u'type': u'Point', u'coordinates': (-79.3536606, 43.6895103)}",-79.3536606,43.6895103
179,878,GO-20171499040,2017,D31,Stabbing,2017-08-17T04:00:00,27,York University Heights (27),,-79.5079269,179,"{u'type': u'Point', u'coordinates': (-79.5079269, 43.759285)}",-79.5079269,43.759285
180,879,GO-2017904599,2017,D55,Other,2017-05-22T04:00:00,70,South Riverdale (70),,-79.345192,180,"{u'type': u'Point', u'coordinates': (-79.345192, 43.6670952)}",-79.345192,43.6670952
181,880,GO-20171503946,2017,D14,Shooting,2017-08-20T04:00:00,79,University (79),,-79.406517,181,"{u'type': u'Point', u'coordinates': (-79.406517, 43.656723)}",-79.406517,43.656723
182,881,GO-20171516247,2017,D31,Stabbing,2017-08-22T04:00:00,25,Glenfield-Jane Heights (25),,-79.515686,182,"{u'type': u'Point', u'coordinates': (-79.515686, 43.7491493)}",-79.515686,43.7491493
183,882,GO-20171578601,2017,D31,Shooting,2017-08-31T04:00:00,26,Downsview-Roding-CFB (26),,-79.5138016,183,"{u'type': u'Point', u'coordinates': (-79.5138016, 43.7198334)}",-79.5138016,43.7198334
184,883,GO-20171592166,2017,D23,Shooting,2017-09-02T04:00:00,5,Elms-Old Rexdale (5),,-79.5495377,184,"{u'type': u'Point', u'coordinates': (-79.5495377, 43.7276535)}",-79.5495377,43.7276535
185,884,GO-20171593482,2017,D43,Stabbing,2017-09-06T04:00:00,138,Eglinton East (138),,-79.2455292,185,"{u'type': u'Point', u'coordinates': (-79.2455292, 43.73946)}",-79.2455292,43.73946
186,885,GO-20171661261,2017,D33,Stabbing,2017-09-13T04:00:00,53,Henry Farm (53),,-79.3431091,186,"{u'type': u'Point', u'coordinates': (-79.3431091, 43.7693024)}",-79.3431091,43.7693024
187,886,GO-20171663919,2017,D41,Shooting,2017-09-14T04:00:00,126,Dorset Park (126),,-79.285553,187,"{u'type': u'Point', u'coordinates': (-79.285553, 43.7689018)}",-79.285553,43.7689018
188,887,GO-20171677843,2017,D51,Shooting,2017-09-16T04:00:00,72,Regent Park (72),,-79.3603287,188,"{u'type': u'Point', u'coordinates': (-79.3603287, 43.6634293)}",-79.3603287,43.6634293
189,888,GO-20171682920,2017,D52,Shooting,2017-09-16T04:00:00,77,Waterfront Communities-The Island (77),,-79.3863678,189,"{u'type': u'Point', u'coordinates': (-79.3863678, 43.6480103)}",-79.3863678,43.6480103
190,889,GO-20171640198,2017,D41,Stabbing,2017-09-10T04:00:00,122,Birchcliffe-Cliffside (122),,-79.2644653,190,"{u'type': u'Point', u'coordinates': (-79.2644653, 43.6981697)}",-79.2644653,43.6981697
191,890,GO-20171770154,2017,D31,Shooting,2017-09-29T04:00:00,26,Downsview-Roding-CFB (26),,-79.5138016,191,"{u'type': u'Point', u'coordinates': (-79.5138016, 43.7198334)}",-79.5138016,43.7198334
